Name,Year,Rating,Tags,Watched Date
Harry Potter 20th Anniversary: Return to Hogwarts,2022,,,07-01-2022
Zootopia,2016,4,with bhai,02-01-2022
Atrangi Re,2021,,,01-01-2022
Zindagi Na Milegi Dobara,2011,5,,01-01-2022
Main Hoon Na,2004,,"with mom, with dad",28-12-2021
Happiest Season,2020,3,,27-12-2021
83,2021,,"@theatre, with mom, with bhai, with dad",25-12-2021
How the Grinch Stole Christmas,2000,3,,23-12-2021
Shrek the Halls,2007,2,,22-12-2021
The Holiday,2006,3.5,,20-12-2021
Spider-Man: No Way Home,2021,4,,18-12-2021
Edward Scissorhands,1990,4,,17-12-2021
Kung Fu Panda Holiday,2010,3.5,with bhai,30-11-2021
Johnny English,2003,3,with bhai,27-11-2021
Rush Hour,1998,3.5,with bhai,26-11-2021
13 Going on 30,2004,4,,18-11-2021
Portrait of a Lady on Fire,2019,5,,17-11-2021
Shang-Chi and the Legend of the Ten Rings,2021,4,"with mom, with bhai",14-11-2021
Zindagi Na Milegi Dobara,2011,5,with mom,12-08-2021
Air Mater,2011,3,,11-08-2021
Jennifer's Body,2009,3,with ishika,22-07-2021
Empire Records,1995,3,with ishika,19-07-2021
Trouble,2019,1.5,with bhai,19-07-2021
Bao,2018,4,,05-07-2021
School of Rock,2003,5,,30-06-2021
Ready or Not,2019,3.5,with sayali,27-06-2021
Oculus,2013,3,with sayali,27-06-2021
Vampires Suck,2010,2.5,with sayali,26-06-2021
Shazam!,2019,3.5,with sayali,26-06-2021
Luca,2021,3.5,"with bhai, with mom",23-06-2021
Uri: The Surgical Strike,2019,3,"with mom, with dad",20-06-2021
When Marnie Was There,2014,4,with mom,14-06-2021
Us Again,2021,4.5,,11-06-2021
Raya and the Last Dragon,2021,4,"with mom, with bhai",04-06-2021
Sandeep Aur Pinky Faraar,2021,3,"with mom, with dad",23-05-2021
World Famous Lover,2020,0.5,"with mom, with dad",21-05-2021
My Neighbor Totoro,1988,5,with mom,18-05-2021
Bobo the Monkey,2021,3,,14-05-2021
pizza movie,2016,3.5,,14-05-2021
mask dog,2018,4,,14-05-2021
Catscape,2019,4,,14-05-2021
The Skeleton Dance,1929,3.5,,14-05-2021
agoraphobia,2017,4,,14-05-2021
fluffy's third eye,2016,3.5,,14-05-2021
Save Ralph,2021,5,,14-05-2021
The Grand Budapest Hotel,2014,5,,14-05-2021
The Mitchells vs. The Machines,2021,4,"with mom, with bhai",12-05-2021
Bāhubali 2: The Conclusion,2017,3,"with mom, with bhai, with dad",09-05-2021
Love and Monsters,2020,4,with aaj raat,08-05-2021
Mumbai Saga,2021,0.5,"with mom, with dad",06-05-2021
The Mitchells vs. The Machines,2021,4.5,,06-05-2021
"Crazy, Stupid, Love.",2011,3.5,with rishit,23-04-2021
Rise of the Guardians,2012,4,with mom,20-04-2021
Roohi,2021,2,"with mom, with dad",10-04-2021
Up,2009,4,,05-03-2021
To All the Boys: Always and Forever,2021,3,,15-02-2021
The Princess Switch: Switched Again,2020,2,,04-12-2020
Housefull 4,2019,0.5,"with mom, with dad",05-05-2020
Joy,2015,2,,03-09-2019
27 Dresses,2008,4,,29-08-2019
Missing,2018,2,with mom,10-04-2018
